game_id,season,date,home_team,away_team,odds_source,is_closing,price_home,price_draw,price_away,overround_1x2,ah_home,price_ah_home,price_ah_away,total_line,price_over,price_under,mkt_p_home,mkt_p_draw,mkt_p_away,mkt_sup,mkt_total
2019_mancity_bournemouth,2019,2020-07-15,Man City,Bournemouth,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.15,8.68,16.72,1.0446,-2.3,1.88,2.02,2.5,1.29,3.65,0.849,0.1026,0.0484,2.3,3.924
2019_newcastle_tottenham,2019,2020-07-15,Newcastle,Tottenham,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,4.56,3.77,1.79,1.0432,0.8,1.85,2.05,2.5,1.87,1.95,0.2063,0.2517,0.542,-0.8,2.719
2019_crystalpalace_manunited,2019,2020-07-16,Crystal Palace,Man United,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,9.84,5.0,1.35,1.0424,1.5,1.85,2.05,2.5,1.77,2.08,0.0902,0.1873,0.7225,-1.5,2.849
2019_everton_astonvilla,2019,2020-07-16,Everton,Aston Villa,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.02,3.57,3.74,1.0425,-0.5,2.03,1.87,2.5,1.87,1.95,0.4793,0.2666,0.254,0.5,2.719
2019_leicester_sheffieldunited,2019,2020-07-16,Leicester,Sheffield United,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.02,3.34,4.01,1.0438,-0.5,2.0,1.9,2.5,2.14,1.72,0.4789,0.2853,0.2358,0.5,2.449
2019_southampton_brighton,2019,2020-07-16,Southampton,Brighton,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.18,3.31,3.53,1.0441,-0.3,1.88,2.02,2.5,2.13,1.73,0.4428,0.2879,0.2693,0.3,2.459
2019_westham_watford,2019,2020-07-17,West Ham,Watford,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.42,3.04,3.31,1.0443,-0.3,2.05,1.85,2.5,2.03,1.8,0.3978,0.3144,0.2879,0.3,2.548
2019_norwich_burnley,2019,2020-07-18,Norwich,Burnley,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,3.32,3.33,2.25,1.0459,0.3,1.97,1.93,2.5,2.05,1.78,0.2864,0.2855,0.428,-0.3,2.527
2019_bournemouth_southampton,2019,2020-07-19,Bournemouth,Southampton,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.39,3.65,2.84,1.0445,-0.3,2.07,1.83,2.5,1.71,2.16,0.4028,0.26,0.3372,0.3,2.93
2019_tottenham_leicester,2019,2020-07-19,Tottenham,Leicester,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.32,3.42,3.11,1.045,-0.3,2.01,1.89,2.5,1.95,1.87,0.4151,0.278,0.3068,0.3,2.63
2019_brighton_newcastle,2019,2020-07-20,Brighton,Newcastle,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.93,3.42,4.23,1.0469,-0.5,1.95,1.95,2.5,2.12,1.73,0.5005,0.2774,0.2221,0.5,2.464
2019_sheffieldunited_everton,2019,2020-07-20,Sheffield United,Everton,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.17,3.29,3.52,1.0489,-0.3,1.88,2.02,2.5,2.32,1.62,0.4432,0.2882,0.2686,0.3,2.311
2019_wolves_crystalpalace,2019,2020-07-20,Wolves,Crystal Palace,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.5,4.03,7.72,1.0443,-1.0,1.94,1.96,2.5,2.29,1.64,0.6484,0.2344,0.1172,1.0,2.336
2019_astonvilla_arsenal,2019,2020-07-21,Aston Villa,Arsenal,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,3.24,3.78,2.11,1.0471,0.3,2.04,1.89,2.5,1.66,2.25,0.2934,0.2498,0.4568,-0.3,3.01
2019_watford_mancity,2019,2020-07-21,Watford,Man City,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,8.62,5.6,1.33,1.0465,1.5,1.97,1.96,2.5,1.48,2.67,0.1033,0.1649,0.7318,-1.5,3.35
2019_liverpool_chelsea,2019,2020-07-22,Liverpool,Chelsea,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.04,3.7,3.51,1.0454,-0.5,2.09,1.84,2.5,1.6,2.34,0.4735,0.256,0.2705,0.5,3.1
2019_manunited_westham,2019,2020-07-22,Man United,West Ham,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.24,6.38,11.56,1.0497,-1.8,1.95,1.98,2.5,1.47,2.68,0.7844,0.1423,0.0733,1.8,3.366
2019_arsenal_watford,2019,2020-07-26,Arsenal,Watford,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.93,3.89,3.72,1.044,-0.5,1.93,1.97,2.5,1.61,2.34,0.5016,0.2434,0.255,0.5,3.091
2019_burnley_brighton,2019,2020-07-26,Burnley,Brighton,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.32,3.44,3.09,1.0454,-0.3,2.01,1.89,2.5,1.91,1.91,0.415,0.2762,0.3088,0.3,2.674
2019_chelsea_wolves,2019,2020-07-26,Chelsea,Wolves,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.84,3.76,4.23,1.0458,-0.5,1.84,2.06,2.5,1.9,1.92,0.526,0.2516,0.2224,0.5,2.685
2019_crystalpalace_tottenham,2019,2020-07-26,Crystal Palace,Tottenham,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,6.12,4.23,1.55,1.045,1.0,1.95,1.95,2.5,1.76,2.08,0.1505,0.2226,0.6269,-1.0,2.856
2019_everton_bournemouth,2019,2020-07-26,Everton,Bournemouth,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.24,3.78,2.98,1.0465,-0.3,1.98,1.92,2.5,1.58,2.39,0.4298,0.25,0.3202,0.3,3.139
2019_leicester_manunited,2019,2020-07-26,Leicester,Man United,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,3.17,3.49,2.24,1.0484,0.3,1.94,1.42,2.5,1.85,1.99,0.2997,0.2711,0.4291,-0.3,2.752
2019_mancity_norwich,2019,2020-07-26,Man City,Norwich,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.07,12.8,30.42,1.0456,-3.0,1.95,1.95,2.5,1.21,4.36,0.9129,0.0653,0.0219,3.0,4.268
2019_newcastle_liverpool,2019,2020-07-26,Newcastle,Liverpool,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,7.6,4.99,1.4,1.0463,1.5,1.75,2.05,2.5,1.54,2.49,0.1187,0.1866,0.6947,-1.5,3.218
2019_southampton_sheffieldunited,2019,2020-07-26,Southampton,Sheffield United,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.18,3.47,3.34,1.0463,-0.3,1.89,2.01,2.5,1.87,1.95,0.442,0.2734,0.2845,0.3,2.719
2019_westham_astonvilla,2019,2020-07-26,West Ham,Aston Villa,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,3.05,3.57,2.28,1.0466,0.3,1.91,1.99,2.5,1.66,2.24,0.3126,0.2654,0.422,-0.3,3.005
2020_crystalpalace_southampton,2020,2020-09-12,Crystal Palace,Southampton,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,3.18,3.22,2.39,1.0434,0.3,1.85,2.05,2.5,2.24,1.67,0.3003,0.2965,0.4032,-0.3,2.375
2020_fulham_arsenal,2020,2020-09-12,Fulham,Arsenal,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,5.94,4.34,1.55,1.0439,1.0,1.93,1.97,2.5,1.76,2.1,0.1557,0.217,0.6273,-1.0,2.865
2020_liverpool_leeds,2020,2020-09-12,Liverpool,Leeds,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.3,5.96,9.68,1.0403,-1.5,1.95,1.95,2.5,1.52,2.53,0.7516,0.156,0.0924,1.5,3.254
2020_westham_newcastle,2020,2020-09-12,West Ham,Newcastle,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.15,3.48,3.42,1.0449,-0.5,2.07,1.72,2.5,1.97,1.86,0.4489,0.2731,0.2781,0.5,2.614
2020_tottenham_everton,2020,2020-09-13,Tottenham,Everton,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.9,3.55,4.2,1.0461,-0.5,1.91,1.99,2.5,1.94,1.88,0.5089,0.2671,0.224,0.5,2.641
2020_westbrom_leicester,2020,2020-09-13,West Brom,Leicester,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,3.87,3.57,1.97,1.0461,0.5,1.91,1.99,2.5,1.92,1.9,0.244,0.2655,0.4904,-0.5,2.663
2020_brighton_chelsea,2020,2020-09-14,Brighton,Chelsea,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,5.12,4.13,1.65,1.0435,0.8,2.06,1.84,2.5,1.76,2.08,0.1825,0.2287,0.5888,-0.8,2.856
2020_sheffieldunited_wolves,2020,2020-09-14,Sheffield United,Wolves,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,3.36,3.0,2.41,1.0459,0.3,1.86,2.04,2.5,2.68,1.48,0.2829,0.3182,0.3989,-0.3,2.094
2020_arsenal_westham,2020,2020-09-19,Arsenal,West Ham,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.53,4.51,5.91,1.0445,-1.0,1.89,2.01,2.5,1.64,2.3,0.6354,0.2082,0.1563,1.0,3.048
2020_everton_westbrom,2020,2020-09-19,Everton,West Brom,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.54,4.25,6.3,1.0434,-1.0,1.91,1.99,2.5,1.81,2.03,0.6317,0.222,0.1463,1.0,2.797
2020_leeds_fulham,2020,2020-09-19,Leeds,Fulham,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.64,3.97,5.5,1.0435,-0.8,1.81,2.09,2.5,1.93,1.91,0.5925,0.2384,0.1691,0.8,2.663
2020_manunited_crystalpalace,2020,2020-09-19,Man United,Crystal Palace,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.32,5.57,9.56,1.0417,-1.5,2.0,1.9,2.5,1.66,2.24,0.7395,0.1672,0.0933,1.5,3.005
2020_chelsea_liverpool,2020,2020-09-20,Chelsea,Liverpool,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,3.15,3.72,2.18,1.045,0.3,1.97,1.93,2.5,1.61,2.35,0.3028,0.2547,0.4425,-0.3,3.095
