game_id,season,week,date,tip_et,home_team,away_team,neutral_site,conference_game,total_line,spread_home,provider,over_price,under_price,spread_home_price,spread_away_price,total_book,spread_book,h_games,a_games,exp_total,exp_margin,total_pred,total_raw,total_edge,total_disagree,total_sigma,total_model,total_p_over,margin_pred,margin_raw,margin_edge,margin_disagree,margin_sigma,margin_model,margin_p_over,total_pick,total_p_win,total_price,total_payout,total_ev,total_stake,spread_side,spread_number,spread_pick,spread_p_win,spread_price,spread_payout,spread_ev,spread_stake,thin_data,total_strength,spread_strength,prediction_date,p_home_win,p_away_win,kalshi_home_ask,kalshi_away_ask,kalshi_home_ev,kalshi_away_ev,kalshi_spread_c,kalshi_side,kalshi_ticker,kalshi_tradeable,ml_pick,ml_ask,ml_p_home,ml_ev,ml_roi,ml_stake,ml_model_cents,kt_pick,kt_ticker,ks_pick,ks_ticker,kt_strike,kt_ask,kt_prob,kt_ev,kt_book_gap,ks_strike,ks_ask,ks_prob,ks_ev,ks_book_gap,kalshi_incoherent,kt_rungs,ks_rungs
401858430,2026,1,2026-09-05,"Sat Sep 05, 12:00 PM",Nebraska,Ohio,False,False,46.0,-23.5,Bovada,,,,,,,0,0,49.90828647108851,3.696899931052177,46.1,46.2,0.1,0.2,16.12,total_market,0.5015,23.2,21.6,-0.3,-1.9,15.38,margin_market,0.4928,Over,0.5015,,0.9090909090909091,-0.043,0.0,Ohio,23.5,Ohio +23.5,0.5072,,0.9090909090909091,-0.032,0.0,True,pass,pass,2026-09-04,0.9343,0.0657,0.94,0.07,-0.0096,-0.0089,1.0,Ohio,KXNCAAFGAME-26SEP05OHIONEB-OHIO,True,,,0.9343,,,,,,,,,,,,,,,,,,,False,,
401861962,2026,1,2026-09-05,"Sat Sep 05, 12:00 PM",UConn,Lafayette,False,False,51.5,-19.5,DraftKings,,,,,,,0,0,69.01851247021233,5.974894181286318,50.9,49.1,-0.6,-2.4,16.12,total_market,0.4853,19.9,21.9,0.4,2.4,15.38,margin_market,0.5092,Under,0.5146999999999999,,0.9090909090909091,-0.017,0.0,UConn,-19.5,UConn -19.5,0.5092,,0.9090909090909091,-0.028,0.0,True,pass,pass,2026-09-04,0.9021,0.0979,0.91,0.1,-0.0136,-0.0084,1.0,Lafayette,KXNCAAFGAME-26SEP05LAFCONN-LAF,True,,,0.9021,,,,,,,,,,,,,,,,,,,False,,
401862701,2026,1,2026-09-05,"Sat Sep 05, 12:00 PM",Army,Bryant,False,False,50.5,-36.5,DraftKings,,,,,,,0,1,42.32686709946118,20.3103798593335,51.4,53.9,0.9,3.4,16.12,total_market,0.5211,36.5,36.3,-0.0,-0.2,15.38,margin_market,0.4991,Over,0.5211,,0.9090909090909091,-0.005,0.0,Bryant,36.5,Bryant +36.5,0.5009,,0.9090909090909091,-0.044,0.0,True,pass,pass,2026-09-04,0.9912,0.0088,0.99,0.02,0.0005,-0.0126,1.0,Army,KXNCAAFGAME-26SEP05BRYARMY-ARMY,True,,,0.9912,,,,,,,,,,,,,,,,,,,False,,
401866410,2026,1,2026-09-05,"Sat Sep 05, 12:00 PM",Bowling Green,Tarleton State,False,False,48.5,-1.5,DraftKings,,,,,,,0,1,55.5518698127995,-16.665749767551716,50.1,54.8,1.6,6.3,16.12,total_market,0.5386,2.0,5.1,0.5,3.6,15.38,margin_market,0.5142,Over,0.5386,,0.9090909090909091,0.028,0.78,Bowling Green,-1.5,Bowling Green -1.5,0.5142,,0.9090909090909091,-0.018,0.0,True,thin,pass,2026-09-04,0.5517,0.4483,0.55,0.47,-0.0156,-0.0391,1.0,Bowling Green,KXNCAAFGAME-26SEP05TARLBGSU-BGSU,True,,,0.5517,,,,,,,,,,,,,,,,,,,False,,
401867924,2026,1,2026-09-05,"Sat Sep 05, 12:00 PM",New Haven,Stonehill,False,True,41.5,-7.0,DraftKings,,,,,,,1,1,47.195336405362866,15.242237056081194,42.7,46.5,1.2,5.0,16.12,total_market,0.5307,7.2,8.4,0.2,1.4,15.38,margin_market,0.5056,Over,0.5307,,0.9090909090909091,0.013,0.36,New Haven,-7.0,New Haven -7.0,0.5056,,0.9090909090909091,-0.035,0.0,True,thin,pass,2026-09-04,0.6802,0.3198,0.73,0.28,-0.0636,0.0257,1.0,Stonehill,KXNCAAFGAME-26SEP05STNHNHC-STNH,True,,,0.6802,,,,,,,,,,,,,,,,,,,False,,
401869960,2026,1,2026-09-05,"Sat Sep 05, 12:00 PM",James Madison,Liberty,False,False,50.5,-6.5,Bovada,,,,,,,0,0,62.024909908719515,21.39858544506644,50.6,50.7,0.1,0.2,16.12,total_market,0.5013,6.6,7.2,0.1,0.7,15.38,margin_market,0.5026,Over,0.5013,,0.9090909090909091,-0.043,0.0,James Madison,-6.5,James Madison -6.5,0.5026,,0.9090909090909091,-0.04,0.0,True,pass,pass,2026-09-04,0.6661,0.3339,0.68,0.33,-0.0291,-0.0116,1.0,Liberty,KXNCAAFGAME-26SEP05LIBJMU-LIB,True,,,0.6661,,,,,,,,,,,,,,,,,,,False,,
401858207,2026,1,2026-09-05,"Sat Sep 05, 12:30 PM",Pittsburgh,Miami (OH),False,False,47.0,-16.0,Bovada,,,,,,,0,0,50.837543063089576,10.239265644120586,46.7,45.9,-0.3,-1.1,16.12,total_market,0.493,15.6,13.6,-0.4,-2.4,15.38,margin_market,0.4906,Under,0.507,,0.9090909090909091,-0.032,0.0,Miami (OH),16.0,Miami (OH) +16.0,0.5094000000000001,,0.9090909090909091,-0.028,0.0,True,pass,pass,2026-09-04,0.8448,0.1552,0.88,0.13,-0.0426,0.0173,1.0,Miami (OH),KXNCAAFGAME-26SEP05MOHPITT-MOH,True,,,0.8448,,,,,,,,,,,,,,,,,,,False,,
401858432,2026,1,2026-09-05,"Sat Sep 05, 12:30 PM",Ohio State,Ball State,False,False,56.5,-51.0,Bovada,,,,,,,0,0,45.71215099404341,36.764257712976644,56.7,57.5,0.2,1.0,16.12,total_market,0.5059,50.9,50.3,-0.1,-0.7,15.38,margin_market,0.4971,Over,0.5059,,0.9090909090909091,-0.034,0.0,Ball State,51.0,Ball State +51.0,0.5029,,0.9090909090909091,-0.04,0.0,True,pass,pass,2026-09-04,0.9995,0.0005,1.0,0.01,,-0.0102,1.0,Ball State,KXNCAAFGAME-26SEP05BALLOSU-BALL,True,,,0.9995,,,,,,,,,,,,,,,,,,,False,,
401868017,2026,1,2026-09-05,"Sat Sep 05, 12:30 PM",Georgetown,Lehigh,False,True,49.5,22.5,DraftKings,,,,,,,0,1,42.874852966400525,-24.990657677314225,49.2,48.5,-0.3,-1.0,16.12,total_market,0.4937,-21.9,-18.6,0.6,3.9,15.38,margin_market,0.5152,Under,0.5063,,0.9090909090909091,-0.033,0.0,Georgetown,22.5,Georgetown +22.5,0.5152,,0.9090909090909091,-0.016,0.0,True,pass,pass,2026-09-04,0.0772,0.9228,0.1,0.9,-0.0291,0.0165,1.0,Lehigh,KXNCAAFGAME-26SEP05LEHGTWN-LEH,True,,,0.0772,,,,,,,,,,,,,,,,,,,False,,
401856665,2026,1,2026-09-05,"Sat Sep 05, 12:45 PM",South Carolina,Kent State,False,False,53.5,-36.5,Bovada,,,,,,,0,0,51.819499476881816,20.770050226256995,54.1,55.9,0.6,2.4,16.12,total_market,0.5146,36.6,37.5,0.1,1.0,15.38,margin_market,0.5038,Over,0.5146,,0.9090909090909091,-0.018,0.0,South Carolina,-36.5,South Carolina -36.5,0.5038,,0.9090909090909091,-0.038,0.0,True,pass,pass,2026-09-04,0.9913,0.0087,0.99,0.02,0.0006,-0.0127,1.0,South Carolina,KXNCAAFGAME-26SEP05KENTSCAR-SCAR,True,,,0.9913,,,,,,,,,,,,,,,,,,,False,,
401856659,2026,1,2026-09-05,"Sat Sep 05, 1:00 PM",Kentucky,Youngstown State,False,False,62.5,-22.5,DraftKings,,,,,,,0,1,62.69745517063154,1.4274075654205092,62.2,61.3,-0.3,-1.2,16.12,total_market,0.4924,22.8,24.5,0.3,2.0,15.38,margin_market,0.5077,Under,0.5076,,0.9090909090909091,-0.031,0.0,Kentucky,-22.5,Kentucky -22.5,0.5077,,0.9090909090909091,-0.031,0.0,True,pass,pass,2026-09-04,0.9309,0.0691,0.93,0.08,-0.0037,-0.0161,1.0,Kentucky,KXNCAAFGAME-26SEP05YSUUK-UK,True,,,0.9309,,,,,,,,,,,,,,,,,,,False,,
401856779,2026,1,2026-09-05,"Sat Sep 05, 1:00 PM",Iowa State,Southeast Missouri State,False,False,53.5,-30.5,DraftKings,,,,,,,0,1,46.642388120495184,21.280634675499336,53.1,52.0,-0.4,-1.5,16.12,total_market,0.4909,30.5,30.4,-0.0,-0.1,15.38,margin_market,0.4997,Under,0.5091,,0.9090909090909091,-0.028,0.0,Southeast Missouri State,30.5,Southeast Missouri State +30.5,0.5003,,0.9090909090909091,-0.045,0.0,True,pass,pass,2026-09-04,0.9763,0.0237,0.97,0.04,0.0043,-0.019,1.0,Iowa State,KXNCAAFGAME-26SEP05SEMOISU-ISU,True,,,0.9763,,,,,,,,,,,,,,,,,,,False,,
401864496,2026,1,2026-09-05,"Sat Sep 05, 1:00 PM",Air Force,Duquesne,False,False,57.5,-29.5,DraftKings,,,,,,,0,0,55.59078685685748,9.277342958148855,57.2,56.4,-0.3,-1.1,16.12,total_market,0.4933,30.0,32.7,0.5,3.2,15.38,margin_market,0.5124,Under,0.5066999999999999,,0.9090909090909091,-0.033,0.0,Air Force,-29.5,Air Force -29.5,0.5124,,0.9090909090909091,-0.022,0.0,True,pass,pass,2026-09-04,0.9744,0.0256,0.98,0.03,-0.007,-0.0064,1.0,Duquesne,KXNCAAFGAME-26SEP05DUQAFA-DUQ,True,,,0.9744,,,,,,,,,,,,,,,,,,,False,,
401868000,2026,1,2026-09-05,"Sat Sep 05, 1:00 PM",Colgate,Holy Cross,False,True,47.5,-4.5,DraftKings,,,,,,,1,1,52.09545375795952,3.1058761822684406,48.4,51.1,0.9,3.6,16.12,total_market,0.5221,4.4,4.0,-0.1,-0.5,15.38,margin_market,0.4981,Over,0.5221,,0.9090909090909091,-0.003,0.0,Holy Cross,4.5,Holy Cross +4.5,0.5019,,0.9090909090909091,-0.042,0.0,True,pass,pass,2026-09-04,0.6126,0.3874,0.63,0.39,-0.0337,-0.0193,2.0,Holy Cross,KXNCAAFGAME-26SEP05HCCOLG-HC,True,,,0.6126,,,,,,,,,,,,,,,,,,,False,,
401868186,2026,1,2026-09-05,"Sat Sep 05, 1:30 PM",Wofford,Gardner-Webb,False,False,47.5,-7.0,DraftKings,,,,,,,1,1,46.57726793115351,15.214349944419231,47.9,49.1,0.4,1.6,16.12,total_market,0.5098,6.8,5.6,-0.2,-1.4,15.38,margin_market,0.4946,Over,0.5098,,0.9090909090909091,-0.027,0.0,Gardner-Webb,7.0,Gardner-Webb +7.0,0.5054000000000001,,0.9090909090909091,-0.035,0.0,True,pass,pass,2026-09-04,0.6708,0.3292,0.71,0.3,-0.0536,0.0145,2.0,Gardner-Webb,KXNCAAFGAME-26SEP05WEBBWOF-WEBB,True,,,0.6708,,,,,,,,,,,,,,,,,,,False,,
401862698,2026,1,2026-09-05,"Sat Sep 05, 2:00 PM",Temple,Rhode Island,False,False,51.5,-14.5,DraftKings,,,,,,,0,1,55.72654019013177,-4.956818436994923,51.4,51.2,-0.1,-0.3,16.12,total_market,0.4981,14.4,14.1,-0.1,-0.4,15.38,margin_market,0.4985,Under,0.5019,,0.9090909090909091,-0.042,0.0,Rhode Island,14.5,Rhode Island +14.5,0.5015000000000001,,0.9090909090909091,-0.043,0.0,True,pass,pass,2026-09-04,0.8254,0.1746,0.86,0.16,-0.043,0.0052,1.0,Rhode Island,KXNCAAFGAME-26SEP05URITEM-URI,True,,,0.8254,,,,,,,,,,,,,,,,,,,False,,
401866624,2026,1,2026-09-05,"Sat Sep 05, 2:00 PM",Monmouth,Sacred Heart,False,True,58.5,-15.5,DraftKings,,,,,,,1,0,62.87014996119234,1.340291144112006,58.2,57.1,-0.3,-1.4,16.12,total_market,0.4915,15.8,17.5,0.3,2.0,15.38,margin_market,0.5079,Under,0.5085,,0.9090909090909091,-0.029,0.0,Monmouth,-15.5,Monmouth -15.5,0.5079,,0.9090909090909091,-0.03,0.0,True,pass,pass,2026-09-04,0.8479,0.1521,0.84,0.17,-0.0015,-0.0278,2.0,Monmouth,KXNCAAFGAME-26SEP05SHUMONM-MONM,True,,,0.8479,,,,,,,,,,,,,,,,,,,False,,
