season,team,ret_ppa,ret_pass_pct,ret_rush_pct,ret_usage
2016,Duke,214.7,0.9,0.953,0.753
2016,East Carolina,141.7,0.133,0.808,0.392
2016,Eastern Michigan,160.7,0.987,0.257,0.583
2016,Florida,94.3,0.119,-0.023,0.218
2016,Florida Atlantic,69.8,0.496,0.035,0.489
2016,Florida International,187.7,0.964,0.981,0.827
2016,Florida State,356.4,0.441,1.058,0.749
2016,Fresno State,57.9,-0.23,0.182,0.286
2016,Georgia,244.2,0.983,0.873,0.802
2016,Georgia Southern,205.2,1.0,1.043,0.927
2016,Georgia State,202.9,0.009,0.971,0.505
2016,Georgia Tech,204.8,0.974,0.842,0.855
2016,Hawai'i,129.6,-1.302,0.744,0.712
2016,Houston,386.9,0.947,0.747,0.615
2016,Idaho,184.5,0.892,0.405,0.603
2016,Illinois,119.7,0.988,0.186,0.71
2016,Indiana,191.0,0.073,0.009,0.47
2016,Iowa,314.7,0.965,0.871,0.744
2016,Iowa State,175.2,0.505,0.829,0.573
2016,Kansas,121.9,0.913,-0.144,0.759
2016,Kansas State,179.4,0.725,0.909,0.775
2016,Kent State,5.1,1.0,0.945,0.828
2016,Kentucky,215.7,0.031,0.743,0.648
2016,Louisiana,162.7,0.204,0.859,0.625
2016,Louisiana Tech,171.8,0.05,0.126,0.307
2016,Louisville,354.1,1.0,0.972,0.992
2016,LSU,347.9,0.895,0.97,0.956
2016,Marshall,201.8,1.049,0.255,0.655
2016,Maryland,142.7,0.453,0.766,0.799
2016,Massachusetts,44.8,0.188,0.536,0.226
2016,Memphis,169.7,0.015,0.241,0.336
2016,Miami,309.2,0.947,0.883,0.866
2016,Miami (OH),160.2,0.276,0.611,0.841
2016,Michigan,202.0,0.202,0.284,0.531
2016,Michigan State,92.6,-0.002,0.449,0.46
2016,Middle Tennessee,363.3,0.973,0.552,0.737
2016,Minnesota,238.6,1.0,1.303,0.949
2016,Mississippi State,169.4,0.19,0.219,0.397
2016,Missouri,55.8,9.5,-6.0,0.623
2016,Navy,108.7,0.127,0.205,0.203
2016,NC State,173.5,0.086,0.56,0.525
2016,Nebraska,399.0,1.002,0.724,0.846
2016,Nevada,290.7,0.964,0.823,0.789
2016,New Mexico,191.6,1.045,0.722,0.758
2016,New Mexico State,117.0,0.385,0.816,0.574
2016,North Carolina,343.6,0.411,0.56,0.471
2016,Northern Illinois,298.3,0.949,1.057,0.87
2016,North Texas,6.2,-0.002,-0.112,0.133
2016,Northwestern,110.5,1.012,0.953,0.848
2016,Notre Dame,246.8,0.906,0.71,0.688
2016,Ohio,195.7,-0.006,0.666,0.453
2016,Ohio State,87.4,0.051,0.362,0.285
2016,Oklahoma,442.7,0.895,0.958,0.805
2016,Oklahoma State,390.3,0.886,-0.287,0.753
2016,Old Dominion,245.9,1.0,1.002,0.968
2016,Ole Miss,460.5,0.944,0.987,0.723
2016,Oregon,299.1,0.079,0.905,0.514
2016,Oregon State,112.9,1.493,0.991,0.688
2016,Penn State,177.8,0.251,0.585,0.521
2016,Pittsburgh,230.7,1.061,0.81,0.723
2016,Purdue,177.3,0.368,0.854,0.711
2016,Rice,129.1,-0.015,0.512,0.545
2016,Rutgers,225.9,0.815,0.765,0.828
2016,San Diego State,191.6,0.335,0.621,0.538
2016,San José State,253.6,0.71,0.506,0.5
2016,SMU,263.2,1.071,0.931,0.89
2016,South Alabama,125.1,0.069,1.073,0.449
2016,South Carolina,165.6,0.876,0.737,0.564
2016,Southern Miss,342.7,0.959,0.426,0.613
2016,South Florida,332.3,0.874,0.979,0.949
2016,Stanford,203.3,0.112,0.427,0.478
2016,Syracuse,181.5,1.149,1.192,0.914
2016,TCU,145.4,0.078,0.057,0.295
2016,Temple,187.9,0.967,0.324,0.831
2016,Tennessee,327.1,1.018,1.018,0.909
2016,Texas,181.9,1.0,0.988,0.773
2016,Texas A&M,178.7,0.266,0.14,0.396
2016,Texas State,80.4,1.051,0.536,0.527
2016,Texas Tech,436.9,0.843,0.559,0.696
2016,Toledo,218.5,0.063,1.032,0.579
2016,Troy,163.5,0.868,-45.5,0.533
2016,Tulane,110.4,0.153,2.357,0.411
2016,Tulsa,325.6,0.964,0.682,0.691
2016,UCF,102.6,0.522,0.737,0.784
2016,UCLA,263.2,0.977,0.456,0.616
2016,UConn,209.0,0.992,2.492,0.887
2016,UL Monroe,201.6,1.135,-0.607,0.658
2016,UNLV,149.2,-0.136,0.75,0.543
2016,USC,328.5,0.186,0.631,0.543
2016,Utah,96.5,0.091,-0.059,0.232
2016,Utah State,176.7,0.842,0.783,0.642
2016,UTEP,137.7,0.929,2.229,0.769
2016,UTSA,152.7,0.393,1.022,0.689
2016,Vanderbilt,65.4,-0.714,0.016,0.65
2016,Virginia,236.5,0.936,0.918,0.877
2016,Virginia Tech,253.4,0.547,0.996,0.675
2016,Wake Forest,137.8,0.94,1.0,0.927
2016,Washington,246.6,0.98,0.96,0.767
2016,Washington State,441.1,1.004,0.998,0.836
2016,Western Kentucky,261.6,0.077,1.11,0.415
2016,Western Michigan,407.1,1.0,0.995,0.87
2016,West Virginia,277.9,1.0,0.502,0.754
2016,Wisconsin,93.1,0.126,0.026,0.512
2016,Wyoming,187.6,-0.108,0.886,0.7
2017,Air Force,211.3,0.921,0.66,0.556
2017,Akron,170.2,0.871,0.973,0.726
2017,Alabama,315.7,0.71,1.001,0.791
2017,App State,210.4,1.092,0.566,0.729
2017,Arizona,163.6,0.633,0.953,0.745
2017,Arizona State,231.1,0.931,1.119,0.875
2017,Arkansas,276.0,0.858,0.279,0.544
2017,Arkansas State,262.4,0.853,0.396,0.77
2017,Army,204.2,0.896,0.808,0.84
2017,Auburn,183.2,-0.022,0.665,0.552
2017,Ball State,195.5,0.902,0.908,0.772
2017,Baylor,207.3,0.505,0.451,0.493
2017,Boise State,336.5,0.89,0.229,0.536
2017,Boston College,74.4,-0.037,7.405,0.555
2017,Bowling Green,111.0,0.229,0.705,0.634
2017,Buffalo,69.2,0.543,0.551,0.552
2017,BYU,101.4,0.382,0.052,0.255
2017,California,176.0,0.169,0.662,0.351
2017,Central Michigan,227.4,0.182,0.841,0.418
2017,Charlotte,112.2,1.281,0.948,0.527
2017,Cincinnati,185.2,0.802,-0.093,0.613
2017,Clemson,148.4,0.085,0.043,0.229
2017,Colorado,306.0,0.373,0.696,0.671
2017,Colorado State,348.4,0.943,0.902,0.873
2017,Duke,230.8,1.0,0.881,0.809
2017,East Carolina,193.2,0.385,0.157,0.42
2017,Eastern Michigan,387.7,0.782,0.857,0.831
2017,Florida,192.4,0.706,0.81,0.727
2017,Florida Atlantic,237.0,1.0,0.981,0.965
2017,Florida International,151.9,0.954,1.0,0.931
2017,Florida State,295.1,0.842,0.459,0.562
2017,Fresno State,170.8,0.981,-1.394,0.609
2017,Georgia,247.5,0.867,0.92,0.895
2017,Georgia Southern,84.9,0.153,0.388,0.2
2017,Georgia State,180.1,0.953,1.0,0.855
2017,Georgia Tech,159.0,-0.001,0.405,0.347
2017,Hawai'i,230.2,0.736,0.612,0.634
2017,Houston,186.7,0.148,0.086,0.486
2017,Idaho,158.9,0.937,0.782,0.81
2017,Illinois,82.3,0.025,0.819,0.541
2017,Indiana,227.3,0.943,2.797,0.609
2017,Iowa,68.5,0.038,0.26,0.264
2017,Iowa State,346.7,1.0,0.905,0.944
2017,Kansas,67.9,0.485,0.392,0.435
2017,Kansas State,274.6,0.837,0.945,0.789
2017,Kent State,131.2,0.0,1.023,0.903
2017,Kentucky,207.5,0.981,0.593,0.654
2017,Louisiana,47.5,0.196,-0.111,0.252
2017,Louisiana Tech,168.2,0.02,0.658,0.331
2017,Louisville,391.9,0.801,0.856,0.699
2017,LSU,242.0,0.994,0.798,0.685
2017,Marshall,72.7,1.0,1.051,0.74
2017,Maryland,108.2,0.122,0.712,0.422
2017,Massachusetts,219.1,1.02,0.914,0.848
2017,Memphis,470.2,0.914,1.114,0.9
2017,Miami,132.5,0.052,0.684,0.324
2017,Miami (OH),340.8,0.951,1.108,0.854
2017,Michigan,248.9,0.821,0.684,0.619
2017,Michigan State,62.5,0.037,0.703,0.441
2017,Middle Tennessee,423.1,0.95,0.366,0.724
2017,Minnesota,95.3,0.156,0.493,0.511
2017,Mississippi State,291.0,0.852,0.97,0.758
2017,Missouri,336.1,0.914,0.918,0.881
2017,Navy,131.0,0.134,0.276,0.295
2017,NC State,333.2,1.0,0.655,0.72
2017,Nebraska,59.0,0.052,-0.132,0.241
2017,Nevada,142.9,0.489,0.128,0.382
2017,New Mexico,217.7,0.541,0.539,0.615
2017,New Mexico State,198.6,0.613,0.718,0.835
2017,North Carolina,80.0,0.081,-0.177,0.127
2017,Northern Illinois,137.8,0.403,0.411,0.399
2017,North Texas,70.5,0.521,0.634,0.477
2017,Northwestern,220.8,1.044,1.142,0.872
2017,Notre Dame,200.6,0.076,0.553,0.388
2017,Ohio,107.5,0.426,0.34,0.51
2017,Ohio State,256.4,0.738,0.718,0.766
2017,Oklahoma,432.8,0.899,0.269,0.526
2017,Oklahoma State,418.5,0.973,0.465,0.762
2017,Old Dominion,202.6,0.067,0.913,0.536
2017,Ole Miss,133.5,0.113,0.311,0.369
2017,Oregon,231.7,0.48,0.822,0.658
2017,Oregon State,115.0,-7.346,0.879,0.636
2017,Penn State,402.1,0.938,0.967,0.925
2017,Pittsburgh,184.8,0.03,0.595,0.365
2017,Purdue,171.2,0.689,1.306,0.779
2017,Rice,88.6,0.212,0.475,0.313
2017,Rutgers,33.8,1.108,1.886,0.532
2017,San Diego State,263.3,0.968,0.449,0.609
2017,San José State,119.7,0.205,0.465,0.325
2017,SMU,285.4,0.925,0.926,0.891
2017,South Alabama,166.8,0.806,0.821,0.628
2017,South Carolina,213.3,0.652,0.907,0.695
2017,Southern Miss,248.6,0.012,0.793,0.578
2017,South Florida,376.0,0.883,0.715,0.731
2017,Stanford,158.5,1.0,0.305,0.65
2017,Syracuse,239.0,0.986,1.093,0.805
2017,TCU,417.9,1.073,1.001,0.872
2017,Temple,242.9,0.029,0.804,0.429
2017,Tennessee,81.6,0.035,0.118,0.247
2017,Texas,238.3,0.963,0.257,0.639
2017,Texas A&M,139.6,0.288,0.521,0.466
2017,Texas State,113.4,0.124,0.0,0.238
2017,Texas Tech,235.9,0.112,0.27,0.402
2017,Toledo,396.6,0.968,0.19,0.606
2017,Troy,240.4,1.0,0.991,0.986
2017,Tulane,10.1,1.0,0.169,0.862
2017,Tulsa,134.8,0.036,0.34,0.299
2017,UCF,95.2,1.167,-0.039,0.684
2017,UCLA,246.5,0.676,2.135,0.67
2017,UConn,96.1,1.16,0.951,0.73
2017,UL Monroe,136.0,1.0,1.041,0.905
2017,UNLV,214.9,0.537,0.629,0.773
2017,USC,364.2,0.928,0.728,0.67
2017,Utah,176.4,1.0,0.357,0.673
2017,Utah State,148.3,1.0,0.758,0.744
2017,UTEP,69.3,0.817,0.271,0.582
2017,UTSA,273.5,0.791,0.953,0.712
2017,Vanderbilt,253.0,0.975,0.84,0.943
2017,Virginia,148.7,2.713,0.104,0.551
2017,Virginia Tech,107.3,0.044,-0.041,0.249
2017,Wake Forest,181.6,2.5,1.038,0.947
2017,Washington,486.8,0.914,0.98,0.872
2017,Washington State,437.6,0.947,0.971,0.847
2017,Western Kentucky,255.6,1.003,0.038,0.558
2017,Western Michigan,130.6,0.027,0.654,0.421
2017,West Virginia,125.2,0.052,0.626,0.337
2017,Wisconsin,234.5,0.45,0.765,0.461
2017,Wyoming,232.6,0.979,0.772,0.465
2018,Air Force,195.1,0.778,0.577,0.72
2018,Akron,80.4,0.275,0.124,0.375
2018,Alabama,352.9,0.798,0.868,0.756
2018,App State,122.4,0.056,0.363,0.455
2018,Arizona,330.6,0.88,0.616,0.632
2018,Arizona State,378.6,0.967,0.457,0.694
2018,Arkansas,247.0,0.337,0.646,0.653
2018,Arkansas State,308.2,0.918,0.833,0.742
2018,Army,163.7,0.526,0.601,0.63
2018,Auburn,326.3,0.925,0.579,0.704
2018,Ball State,175.4,-1.561,0.918,0.776
2018,Baylor,273.8,0.744,0.318,0.689
2018,Boise State,239.2,0.72,0.475,0.602
2018,Boston College,162.6,0.245,1.342,0.698
2018,Bowling Green,161.2,1.041,0.559,0.414
2018,Buffalo,302.8,0.665,0.931,0.811
2018,BYU,207.2,1.028,0.889,0.836
2018,California,287.1,1.0,0.886,0.824
2018,Central Michigan,53.3,0.064,0.538,0.384
2018,Charlotte,40.6,1.021,1.162,0.78
2018,Cincinnati,211.5,1.084,0.868,0.765
2018,Clemson,349.7,0.783,0.987,0.779
2018,Coastal Carolina,90.1,-0.098,0.403,0.485
2018,Colorado,201.0,1.048,0.446,0.521
2018,Colorado State,109.7,0.0,0.338,0.232
2018,Duke,213.4,1.102,0.77,0.835
2018,East Carolina,95.4,0.082,0.589,0.282
2018,Eastern Michigan,37.6,0.008,0.919,0.422
2018,Florida,173.1,0.663,0.738,0.721
2018,Florida Atlantic,251.3,0.019,0.599,0.458
2018,Florida International,80.0,-0.109,0.299,0.343
2018,Florida State,167.3,0.767,0.644,0.874
2018,Fresno State,323.9,0.862,0.848,0.862
2018,Georgia,325.9,0.872,0.286,0.597
2018,Georgia Southern,88.9,1.0,0.677,0.76
2018,Georgia State,142.9,0.036,-0.367,0.332
2018,Georgia Tech,150.6,0.913,0.936,0.867
2018,Hawai'i,77.3,-0.059,0.104,0.131
2018,Houston,117.1,0.418,0.45,0.32
2018,Idaho,50.9,0.248,-0.322,0.299
2018,Illinois,102.4,-2.667,0.613,0.368
2018,Indiana,87.0,0.357,4.224,0.483
2018,Iowa,229.2,0.933,1.711,0.598
2018,Iowa State,248.9,0.72,0.415,0.657
2018,Kansas,142.1,1.0,-0.025,0.845
2018,Kansas State,173.7,0.303,0.711,0.724
2018,Kent State,47.4,0.564,0.211,0.594
2018,Kentucky,101.6,0.009,0.446,0.471
2018,Louisiana,220.4,0.628,0.552,0.703
2018,Louisiana Tech,267.2,1.0,0.474,0.684
2018,Louisville,213.9,0.024,0.165,0.302
